Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
tpm_afk,AFK WARNING,AFK WARNING,AFK UPOZORNĚNÍ,AFK-WARNUNG,ПРЕДУПРЕЖДЕНИЕ AFK,OSTRZEŻENIE O AFK,AFK FIGYELMEZTETÉS,AVVISO AFK,ADVERTENCIA AFK,AVERTISSEMENT AFK,AFK警告,AFK警告,AVISO DE AFK,AFK警告,
tpm_afk_text,You're about to get kicked! Move way from your position now!,You're about to get kicked! Move way from your position now!,Chystáte se dostat kopačky! Okamžitě se posuňte ze své pozice!,Du wirst gleich getreten! Bewegen Sie sich jetzt von Ihrer Position weg!,Тебя вот-вот кикнут! Отойдите от своей позиции сейчас же!,Zaraz zostaniesz wyrzucony! Odsuń się od swojej pozycji już teraz!,Rúgni készülsz! Távolodjon el a pozíciójától most!,Stai per essere preso a calci! Allontanati dalla tua posizione ora!,¡Estás a punto de ser pateado! ¡Muévase de su posición ahora!,Vous êtes sur le point de vous faire virer ! Éloignez-vous de votre position maintenant !,你要被踢了！ 現在從你的位置移開！,あなたは蹴られようとしています！ 今あなたの位置から道を移動してください！,Você está prestes a ser chutado! Saia da sua posição agora!,你要被踢了！ 现在从你的位置移开！,
tpm_player_text,PLAYER PREVIEW,PLAYER PREVIEW,UKÁZKA HRÁČE,SPIELERVORSCHAU,ПРОСМОТР ИГРОКА,PODGLĄD GRACZA,A JÁTÉKOSOK ELŐNYE,ANTEPRIMA GIOCATORE,VISTA PREVIA DEL JUGADOR,APERÇU DU JOUEUR,球員預覽,プレイヤーのプレビュー,VISUALIZAÇÃO DO JOGADOR,球员预览,
tpm_back_inv,BACK TO INVENTORY,BACK TO INVENTORY,ZPĚT DO INVENTÁŘE,ZURÜCK ZUM INVENTAR,НАЗАД В ИНВЕНТАРЬ,POWRÓT DO INWENTARYZACJI,VISSZA A KÉSZLETEKHEZ,TORNA ALL'INVENTARIO,VOLVER AL INVENTARIO,RETOUR À L'INVENTAIRE,回到庫存,在庫に戻る,VOLTAR AO INVENTÁRIO,回到库存,
tpm_remove,REMOVE CLOTHES,REMOVE CLOTHES,ODSTRANIT OBLEČENÍ,KLEIDUNG ENTFERNEN,СНЯТЬ ОДЕЖДУ,ZDEJMIJ UBRANIA,Távolítsa el a ruhákat,TOGLI I VESTITI,QUITAR LA ROPA,DÉSHABILLER,脫衣服,服を脱ぐ,TIRAR A ROUPA,脱衣服,
tpm_reset,RESET CLOTHES,RESET CLOTHES,RESETOVAT OBLEČENÍ,KLEIDUNG ZURÜCKSETZEN,СБРОС ОДЕЖДЫ,RESETUJ UBRANIA,RUHÁK NULLÁLÁSA,RESET ABBIGLIAMENTO,REINICIAR ROPA,RÉINITIALISER LES VÊTEMENTS,重置衣服,服をリセット,REINICIAR ROUPA,重置衣服,
tpm_kit_preview,KIT PREVIEW,KIT PREVIEW,NÁHLED SADY,KIT-VORSCHAU,ПОКАЗАТЬ КОМПЛЕКТ,PODGLĄD ZESTAWU,KIT ÁTTEKINTÉS,ANTEPRIMA KIT,VISTA PREVIA DEL KIT,APERÇU DU KIT,套件預覽,キットプレビュー,PREVISÃO DE KIT,套件预览,
tpm_pristine,pristine,pristine,Nepoškozený,makellos,нетронуто,dziewiczy,ősi,incontaminato,prístino,parfait,原始的,新品同様,imaculado,原始的,
tpm_worn,worn,worn,Opotřebený,getragen,поношено,używany,kopott,logoro,gastado,porté,磨損,ボロボロになっている,desgastado,磨损,
tpm_damaged,damaged,damaged,Silně Opotřebený,beschädigt,повреждено,uszkodzony,sérült,danneggiato,dañado,endommagé,損壞的,損傷している,estragado,损坏的,
tpm_badly_dmg,badly damaged,badly damaged,Skoro Zničený,schwer beschädigt,Сильно повреждено,poważnie uszkodzony,súlyosan megsérült,danneggiato gravemente,muy dañada,gravement endommagé,嚴重受損,かなり損傷している,gravemente danificado,严重受损,
tpm_ruined,ruined,ruined,Zničený,ruiniert,уничтожено,zrujnowany,romos,rovinato,arruinado,ruiné,毀了,壊れている,arruinado,毁了,
tpm_trade,Trade,Trade,Obchodovat,Handel,Торговля,Handel,Kereskedelmi,Commercio,Comercio,Trade,貿易,トレード,Troca,贸易,
tpm_pack_vehicle,Pack Vehicle,Pack Vehicle,Sbalit vozidlo,Fahrzeug packen,Запаковать автомобиль,Spakuj pojazd,Csomagolja a járművet,Pacchetto veicolo,Paquete de vehículo,Pack Véhicule,包車,パック車両,Pacote de veículos,Pacote de veículos,包车
tpm_deploy_vehicle,Deploy Vehicle,Deploy Vehicle,Spawnutí vozidla,Fahrzeug bereitstellen,Развернуть автомобиль,Rozmieść pojazd,Telepítse a járművet,Distribuisci veicolo,Implementar vehículo,Déployer le véhicule,部署車輛,車両を配備,Implantar Veículo,部署车辆,
tpm_cant_be_sold,Sorry ! It can't be sold !,Sorry ! it can't be sold !,"Litujeme, toto nejde prodat!",Es kann leider nicht verkauft werden!,Это не может быть продано!,Niestety nie mozna go sprzedac!,Sajnos nem lehet eladni!,Purtroppo non è vendibile!,Desafortunadamente ! ¡no se puede vender!,L'ARTICLE NE PEUT ETRE TRADE !,對不起，不能賣！,ごめんなさい、売れません！,Infelizmente ! não pode ser vendido!,对不起，不能卖!,
tpm_cant_be_bought,SORRY ! YOU CAN'T BUY THIS ITEM,SORRY ! YOU CAN'T BUY THIS ITEM,"Litujeme, ale tuto položku nejde zakoupit!",ES TUT UNS LEID ! SIE KÖNNEN DIESEN ARTIKEL NICHT KAUFEN,ПРОСТИ ! ВЫ НЕ МОЖЕТЕ КУПИТЬ ЭТОТ ТОВАР,NIE MOŻESZ KUPIĆ TEGO PRZEDMIOTU,SAJNÁLOM ! NEM VÁLHATJA EZT A TÉTELET,SCUSA ! NON PUOI ACQUISTARE QUESTO ARTICOLO,LO SIENTO ! NO PUEDES COMPRAR ESTE ARTÍCULO,PARDON ! VOUS NE POUVEZ PAS ACHETER CET ARTICLE,對不起 ！ 你不能買這個項目,ごめんなさい ！ この商品は購入できません,DESCULPE ! VOCÊ NÃO PODE COMPRAR ESTE ARTIGO,对不起 ！ 你不能买这个项目,
tpm_already_bought,YOU ALREADY BOUGHT THIS PRODUCT!,YOU ALREADY BOUGHT THIS PRODUCT!,TENTO PRODUKT jste již koupili!,SIE HABEN DIESES PRODUKT BEREITS GEKAUFT!,ВЫ УЖЕ КУПИЛИ ДАННЫЙ ТОВАР!,KUPIŁEŚ JUŻ TEN PRODUKT!,MÁR VETTÉK EZT A TERMÉKET!,HAI GIÀ ACQUISTATO QUESTO PRODOTTO!,¡YA COMPRÓ ESTE PRODUCTO!,VOUS AVEZ DÉJÀ ACHETÉ CE PRODUIT !,您已經購買了該產品！,あなたはすでにこの製品を購入しました！,VOCÊ JÁ COMPROU ESTE PRODUTO!,您已经购买了该产品！,
tpm_tradeqty_over_itemqty,Trade quantity is over item quantity !,Trade quantity is over item quantity !,Objem obchodu presahuje množství zboží !,Die Handelsmenge übersteigt die Warenmenge !,Требуемое количество превышает количество товара!,Kwota handlu przekracza ilosc towarów !,A kereskedelem összege meghaladja az áruk mennyiségét,La quantità di scambi supera la quantità di merci !,La cantidad de comercio excede la cantidad de bienes !,La quantité requise pour trade est superieur a la quantité de l'item !,交易數量超過物品數量！,取引数量がアイテム数量を超えました!,A quantidade de comércio excede a quantidade de mercadorias !,交易数量超过物品数量！,
tpm_tradeqty_over_stockqty,Trade quantity is over stock capacity!,Trade quantity is over stock capacity!,Množství obchodu presahuje skladovou kapacitu!,Die Handelsmenge übersteigt die Lagerkapazitä!,Требуемое количество превышает складские остатки!,Wielkosc handlu przekracza pojemnosc magazynu!,A kereskedelem mennyisége meghaladja a készlet kapacitását !,Il volume degli scambi supera la capacità dello stock !,El volumen de comercio supera la capacidad del stock.,La quantité de trade est superieur à la capacité du stock !,交易量已超過庫存容量！,取引量が在庫容量を超えています!,O volume de negociação excede a capacidade do estoque !,交易量已超过库存容量！,
tpm_totalqty,TOTAL QUANTITY:,TOTAL QUANTITY:,CELKOVÉ MNOŽSTVÍ:,GESAMTMENGE:,ОБЩЕЕ КОЛИЧЕСТВО:,CALKOWITA ILOSC:,TELJES MENNYISÉG:,IMPORTO TOTALE:,CANTIDAD TOTAL:,QUANTITE TOTALE:,總數（量：,総量：,MONTANTE TOTAL:,总数（量：,
tpm_not_too_fast,NOT TOO FAST !,NOT TOO FAST !,NÉ TAK RYCHLE!,NICHT ZU SCHNELL!!,НЕ СЛИШКОМ БЫСТРО!,NIE TAK SZYBKO!,NEM TÚL GYORS!,NON TROPPO VELOCE!,NO DEMASIADO RAPIDO!,PAS SI VITE!,不要太快！,速すぎる!,NÃO DEMASIADO RÁPIDO!,不要太快！,
tpm_cant_trade_item,YOU CAN NOT TRADE THAT ITEM!,YOU CAN NOT TRADE THAT ITEM!,TUTO POLOŽKU NELZE VYMĚNIT!,SIE KÖNNEN DIESEN ARTIKEL NICHT HANDELN!,Этим товаром нельзя торговать!,NIE MOZESZ HANDLOWAC TYM PRZEDMIOTEM!,EZT A TÉTELET NEM KERESKEDIK!,NON PUOI COMMERCIALIZZARE QUESTO ARTICOLO!,¡NO PUEDE COMERCIAR ESTE ARTÍCULO!,TU NE PEUX PAS TRADE CET ITEM !,你不能交易那個項目！,あなたはそのアイテムを取引することはできません!,VOCÊ NÃO PODE COMERCIALIZAR ESTE ARTIGO!,你不能交易那个项目！,
tpm_empty_item_first,YOU NEED TO EMPTY THIS ITEM FIRST !,YOU NEED TO EMPTY THIS ITEM FIRST !,TENTO PŘEDMĚT MUSÍ BÝT VYPRÁZDNĚN!,SIE BRAUCHEN DIESEN ARTIKEL ZUERST LEER!,ВАМ НЕОБХОДИМО СНАЧАЛА ОПУСТОШИТЬ ДАННЫЙ ПРЕДМЕТ!,POTRZEBUJESZ TEN ARTYKUL NAJPIERW PUSTY!,KIÜLTENI KELL EZT A TÉTELET!,DEVI SVUOTARE PRIMA QUESTO ARTICOLO!,¡NECESITA VACIAR ESTE ARTÍCULO PRIMERO!,VOUS DEVEZ VIDER CETTE ITEM AVANT DE LE TRADE!,你需要先清空這個項目！,このアイテムを最初に空にする必要があります。,VOCÊ PRECISA ESVAZIAR ESTE ARTIGO PRIMEIRO!,你需要先清空这个项目！,
tpm_stockqty,STOCK QUANTITY:,STOCK QUANTITY:,MNOŽSTVÍ SKLADU:,BESTANDSMENGE:,КОЛИЧЕСТВО НА СКЛАДЕ:,WIELKOSC ZBIORÓW:,KÉSZLET MENNYISÉGE:,QUANTITÀ DI MAGAZZINO:,CANTIDAD DE STOCK:,QUANTITE EN STOCK:,庫存數量：,在庫数:,QUANTIDADE EM ESTOQUE:,库存数量：,
tpm_buyprice,BUY PRICE:,BUY PRICE:,KOUPIT CENU:,KAUFPREIS:,ЦЕНА ПОКУПКИ:,CENA KUPNA:,VÁRÁS ÁR:,ACQUISTA PREZZO:,PRECIO DE COMPRA:,PRIX D'ACHAT:,購買價格：,価格を購入する：,PREÇO DE COMPRA:,购买价格：,
tpm_sellprice,SELL PRICE:,SELL PRICE:,PRODEJNÍ CENA:,VERKAUFSPREIS:,ЦЕНА ПРОДАЖИ:,CENA SPRZEDAŻY:,ELADÁSI ÁR:,PREZZO DI VENDITA:,PRECIO DE VENTA:,PRIX DE VENTE:,售價：,販売価格：,PREÇO DE VENDA:,售价：,
tpm_slot,SLOT:,SLOT:,SLOT:,SLOT:,СЛОТ:,OTWÓR :,RÉS:,FESSURA:,ESPACIO:,SLOT:,投幣口：,スロット：,SLOT:,投币口：,
tpm_buy,BUY,BUY,KOUPIT,KAUFEN,КУПИТЬ,KUP,MEGVESZ,ACQUISTARE,COMPRAR,ACHETER,買,購入,COMPRAR,买,
tpm_sell,SELL,SELL,PRODAT,VERKAUFEN,ПРОДАТЬ,SPRZEDAĆ,ELAD,VENDERE,VENDER,VENDRE,賣,売る,VENDER,卖,
tpm_inventory,INVENTORY,INVENTORY,INVENTÁŘ,INVENTAR,ИНВЕНТАРЬ,INWENTARZ,LELTÁR,INVENTARIO,INVENTARIO,INVENTAIRE,存貨,インベントリ,INVENTÁRIO,存货,
tpm_stock,STOCK,STOCK,SKLAD,LAGER,СКЛАД,ZBIORY,KÉSZLET,AZIONE,EXISTENCIAS,STOCK,股票,在庫,ESTOQUE,股票,
tpm_product_informations,PRODUCT INFORMATIONS,PRODUCT INFORMATIONS,INFORMACE O PRODUKTU,PRODUKTINFORMATION,ИНФОРМАЦИЯ О ПРОДУКТЕ,INFORMACJE O PRODUKCIE,TERMÉK INFORMÁCIÓ,INFORMAZIONI SUL PRODOTTO,INFORMACIÓN DEL PRODUCTO,INFORMATION PRODUIT,產品信息,製品情報,INFORMAÇÃO DO PRODUTO,产品信息,
tpm_tradeqty,TRADE QUANTITY:,TRADE QUANTITY:,MNOŽSTVÍ OBCHODU:,HANDELSMENGE:,ТОРГОВОЕ КОЛИЧЕСТВО:,ILOSC HANDLOWA:,KERESKEDELMI MENNYISÉG:,QUANTITÀ COMMERCIALE:,CANTIDAD COMERCIAL:,QUANTITE  TRADE:,交易數量：,取引量:,QUANTIDADE COMERCIAL:,交易数量：,
tpm_inventory_count,INVENTORY COUNT:,INVENTORY COUNT:,POČET V INVENTÁŘI:,INVENTURZÄHLUNG:,СЧЕТЧИК ИНВЕНТАРЯ:,ILOSC ZAPASÓW:,KÉSZLET SZÃ?MOL:,CONTEGGIO D'INVENTARIO:,CUENTA DE INVENTARIO:,TOTAL DANS INVENTAIRE:,庫存數量：,インベントリ数:,CONTAGEM DE INVENTÁRIO:,库存数量：,
tpm_stock_count,STOCK COUNT:,STOCK COUNT:,POČET VE SKLADU:,LAGERZAHL:,КОЛИЧЕСТВО НА СКЛАДЕ:,LICZBA ZAPASÓW:,KÉSZLETSZÁM:,CONTEGGIO IN MAGAZZINO:,CUENTA EN STOCK:,STOCK TOTAL:,庫存數量：,在庫数:,STOCK COUNT:,库存数量：,
tpm_all,ALL,ALL,VŠE,ALLE.,ВСЕ.,WSZYSTKO.,MINDEN.,TUTTI.,TODAS.,TOUT.,全部.,すべて,TUDO.,全部.,
tpm_vehicles,VEHICLES,VEHICLES,Vozidla.,Fahrzeuge.,Транспортные средства.,Pojazdy.,Járművek.,Veicoli.,Vehículos.,VEHICULES,車輛.,車両.,Veículos.,车辆.
tpm_sellable,SELLABLE,SELLABLE,PRODEJNÉ,VERKAUFBAR.,НА ПРОДАЖУ.,SPRZEDAWALNOŚĆ.,ELADÓ.,VENDIBILE.,VENDO.,VENDABLE.,可售.,売却可能,VENDIDO.,可售.,
tpm_dont_enough_money,YOU DON'T HAVE ENOUGH MONEY!,YOU DON'T HAVE ENOUGH MONEY!,NEMÁTE DOSTATEK PENĚZ!,DU HAST NICHT GENUG GELD.,У ВАС НЕДОСТАТОЧНО ДЕНЕГ.,ZA MAŁO PIENIĘDZY.,NINCS ELÉG PÉNZE.,NON HAI ABBASTANZA SOLDI.,NO TIENES SUFICIENTE DINERO.,VOUS N'AVEZ PAS ASSEZ D'ARGENT.,你沒有足夠的錢.,あなたは十分なお金を持っていません.,VOCÊ NÃO TEM DINHEIRO SUFICIENTE.,你没有足够的钱.,
tpm_not_enough_qty_stock,THERE IS NOT ENOUGH QUANTITY IN STOCK!,THERE IS NOT ENOUGH QUANTITY IN STOCK!,NABÍZENÉ MNOŽSTVÍ NENÍ SKLADEM!,ES IST NICHT GENUG MENGE AUF LAGER.,В НАЛИЧИИ НЕДОСТАТОЧНО.,W MAGAZYNIE NIE MA WYSTARCZAJĄCEJ ILOŚCI.,RAKTÁRON NEM ELÉG A MENNYISÉG.,NON C'È ABBASTANZA QUANTITÀ IN MAGAZZINO.,NO HAY SUFICIENTE CANTIDAD EN STOCK.,IL N'Y A PAS ASSEZ DE QUANTITÉ EN STOCK.,庫存數量不足.,十分な量の在庫がありません.,NÃO HÁ QUANTIDADE SUFICIENTE EM ESTOQUE.,库存数量不足.,
tpm_sell_success,THE SELL WAS A SUCCESS!,THE SELL WAS A SUCCESS!,PRODEJ BYL ÚSPĚŠNÝ!,DER VERKAUF WAR EIN ERFOLG.,ПРОДАЖА БЫЛА УСПЕШНОЙ.,SPRZEDAŻ BYŁA SUKCESEM.,AZ ELADÁS SIKER volt.,LA VENDITA E' STATA UN SUCCESSO.,LA VENTA FUE UN ÉXITO.,LA VENTE A ÉTÉ UN SUCCÈS.,賣出成功.,売却に成功した,A VENDA FOI UM SUCESSO.,卖出成功.,
tpm_sell_failed,THE SELL HAS FAILED!,THE SELL HAS FAILED!,PRODEJ SELHAL,DER VERKAUF IST FEHLGESCHLAGEN.,ПРОДАЖА НЕ СОСТОЯЛАСЬ.,SPRZEDAŻ NIE POWIODŁA SIĘ.,Az eladás sikertelen volt.,LA VENDITA È FALLITA.,LA VENTA HA FALLADO.,LA VENTE A ÉCHOUÉ.,銷售失敗.,売却に失敗した,A VENDA FALHOU.,销售失败.,
tpm_buy_success,YOU SUCCESSFULLY GOT YOUR GOOD!,YOU SUCCESSFULLY GOT YOUR GOOD!,ÚSPĚŠNĚ SI ZÍSKAL SVÉ PŘEDMĚTY!,SIE HABEN IHR GUTES ERFOLGREICH ERHALTEN.,ВЫ УСПЕШНО ПОЛУЧИЛИ СВОЙ ТОВАР.,POMYŚLNIE OTRZYMASZ SWOJE DOBRO.,SIKERESEN JUTTAD JÓDAT.,HAI OTTENUTO CON SUCCESSO IL TUO BENE.,USTED CONSEGUIÓ EXITOSAMENTE SU BIEN.,VOUS AVEZ RÉUSSI VOTRE BIEN.,你成功地得到了你的好處.,あなたはうまくあなたの良いものを手に入れました.,VOCÊ OBTEVE SEU BEM COM SUCESSO.,你成功地得到了你的好处.,
tpm_buy_failed,YOUR GOOD WASN'T ABLE TO BE GIVEN TO YOU !,YOUR GOOD WASN'T ABLE TO BE GIVEN TO YOU !,TVÉ PŘEDMĚTY TI NEMOHLY BÝT PŘEDÁNY!,DEIN GUTES KANN DIR NICHT GEGEBEN WERDEN.,ВАШ ТОВАР НЕ МОЖЕТ БЫТЬ ВАМ ВРУЧЕН.,TWOJEGO DOBRA NIE MOŻNA CI DAĆ.,JÓDAT NEM TUDTÁNAK NEKED NEM ADNI.,IL TUO BENE NON TI ERA IN GRADO DI ESSERE DATO.,TU BIEN NO PODRÍA SER DADO.,VOTRE BIEN N'A PAS PU VOUS ÊTRE DONNÉ.,你的好東西不能給你.,購入に失敗した,SEU BEM NÃO PODERIA SER DADO A VOCÊ.,你的好东西不能给你.,
tpm_hand_attachments,HAND ATTACHMENTS,HAND ATTACHMENTS,RUČNÍ PŘÍSLUŠENSTVÍ,HANDBEFESTIGUNGEN.,АТТАЧМЕНТЫ.,PRZYSTAWKI DO RĘK.,KÉZI RENDSZEREK.,ATTACCHI A MANO.,ADJUNTOS PARA LAS MANOS.,ACCESSOIRES EN MAIN.,手動附件.,手持ち,ANEXOS DE MÃO.,手动附件.,
tpm_showall,SHOW ALL,SHOW ALL,UKÁZAT VŠE,ZEIGE ALLES.,ПОКАЗАТЬ ВСЕ.,POKAŻ WSZYSTKO.,MUTASD AZ ÖSSZESET.,MOSTRA TUTTO.,MOSTRAR TODO.,AFFICHER TOUT.,顯示所有.,すべて表示する.,MOSTRE TUDO.,显示所有.,
tpm_licence_msg,YOU DON'T HAVE THE FOLLOWING LICENSES TO USE THE TRADER:,YOU DON'T HAVE THE FOLLOWING LICENSES TO USE THE TRADER:,K POUŽÍTÍ OBCHODNÍKA NEMÁŠ NÁSLEDUJÍCÍ LICENCE:,SIE HABEN NICHT DIE FOLGENDEN LIZENZEN = UM DEN TRADER ZU BENUTZEN:.,У ВАС НЕТ СЛЕДУЮЩИХ ЛИЦЕНЗИЙ НА ИСПОЛЬЗОВАНИЕ ТРЕЙДЕРА:.,NIE POSIADASZ NASTĘPUJĄCYCH LICENCJI NA KORZYSTANIE Z PRZEDSIĘBIORCY:.,NEM VAN A KÖVETKEZŐ ENGEDÉLYEKKEL A KERESKEDŐ HASZNÁLATÁRA:.,NON HAI LE SEGUENTI LICENZE PER UTILIZZARE IL TRADER:.,USTED NO TIENE LAS SIGUIENTES LICENCIAS PARA USAR EL TRADER:.,VOUS N'AVEZ PAS LES LICENCES SUIVANTES POUR UTILISER LE COMMERCANT :.,您沒有使用交易者的以下許可：.,TRADER を使用するための次のライセンスを持っていません。.,VOCÊ NÃO TEM AS SEGUINTES LICENÇAS PARA USAR O COMERCIANTE:.,您没有使用交易者的以下许可：.,
tpm_licences,LICENSES,LICENSES,LICENCE,LIZENZEN,ЛИЦЕНЗИИ,LICENCJE,ENGEDÉLYEK,LICENZE,LICENCIAS,LICENCES,許可證,ライセンス,LICENÇAS,许可证,
tpm_money,MONEY:,MONEY:,PENÍZE:,GELD:,ДЕНЬГИ:,PIENIĄDZE:,PÉNZ:,I SOLDI:,DINERO:,ARGENT:,錢:,お金:,DINHEIRO:,钱:,
tpm_Itemname,ITEM NAME,ITEM NAME,NÁZEV POLOŽKY,ARTIKELNAME,НАЗВАНИЕ ПРЕДМЕТА,NAZWA ELEMENTU,TERMÉK NÉV,NOME DELL'ELEMENTO,NOMBRE DEL ÁRTICULO,NOM DE L'ARTICLE,項目名稱,項目名,NOME DO ITEM,项目名称,
tpm_health,HEALTH,HEALTH,ZDRAVÍ,GESUNDHEIT.,ЗДОРОВЬЕ.,ZDROWIE.,EGÉSZSÉG.,SALUTE.,SALUD.,SANTÉ.,健康.,状態,SAÚDE.,健康.,
tpm_count,COUNT,COUNT,POČET,ANZAHL.,КОЛИЧЕСТВО.,LICZYĆ.,SZÁMOL.,CONTARE.,CONTAR.,COMPTER.,數數.,数量,CONTAR.,数数.,
tpm_search,Search,Search,Vyhledat,Suche.,Поиск.,Szukaj.,Keresés.,Ricerca.,Buscar.,Rechercher.,搜索.,検索,Procurar.,搜索.,
tpm_about_the_mod,About the Mod,About the Mod,O módu,Über die Mod.,О моде.,O Mod.,A Mod-ról.,Informazioni sul mod.,Sobre el Mod.,À propos du module.,關於模組.,Modについて.,Sobre o Mod.,关于模组.,
tpm_presentation,Presentation,Presentation,Prezentace,Präsentation.,Презентация.,Prezentacja.,Bemutatás.,Presentazione.,Presentación.,Présentation.,推介會.,プレゼンテーション.,Apresentação.,推介会.,
